,start station name,number_of_customers
182,1 Ave & E 16 St,8964
183,W 45 St & 6 Ave,8956
184,1 Ave & E 68 St,8889
185,E 32 St & Park Ave,8809
186,E 12 St & 3 Ave,8786
187,Murray St & Greenwich St,8778
188,W 42 St & Dyer Ave,8712
189,Bank St & Hudson St,8706
190,W 20 St & 8 Ave,8692
191,W 26 St & 10 Ave,8600
192,S 3 St & Bedford Ave,8594
193,1 Ave & E 18 St,8576
194,Picnic Point,8477
195,E 15 St & 3 Ave,8467
196,Broadway & W 37 St,8460
197,Bayard St & Baxter St,8459
198,10 Ave & W 28 St,8450
199,W 37 St & 5 Ave,8440
200,1 Ave & E 44 St,8382
201,W 47 St & 10 Ave,8317
202,E 20 St & Park Ave,8313
203,Washington Pl & 6 Ave,8279
204,W 55 St & 6 Ave,8274
205,Greenwich Ave & Charles St,8254
206,6 Ave & Broome St,8183
207,Bedford Ave & Nassau Ave,8118
208,3 St & Prospect Park West,8115
209,E 58 St & 3 Ave,8055
210,W 44 St & 5 Ave,8033
211,Broadway & Berry St,8021
212,E 72 St & Park Ave,7998
213,E 30 St & Park Ave S,7990
214,Allen St & Hester St,7984
215,Fulton St & Adams St,7941
216,W 13 St & 7 Ave,7918
217,E 23 St & 1 Ave,7857
218,W 53 St & 10 Ave,7834
219,E 47 St & Park Ave,7813
220,Water - Whitehall Plaza,7787
221,Cherry St,7701
222,E 6 St & Avenue B,7672
223,N 12 St & Bedford Ave,7580
224,Broadway & W 58 St,7490
225,Division St & Bowery,7486
226,Pershing Square South,7472
227,W 20 St & 7 Ave,7445
228,E 10 St & 5 Ave,7400
229,6 Ave & W 34 St,7301
230,W 59 St & 10 Ave,7289
231,Washington Pl & Broadway,7282
232,E 59 St & Madison Ave,7274
233,W 11 St & 6 Ave,7272
234,E 51 St & Lexington Ave,7269
235,W 76 St & Columbus Ave,7254
236,1 Ave & E 78 St,7201
237,W 54 St & 9 Ave,7172
238,Riverside Dr & W 91 St,7165
239,Clinton St & Grand St,7159
240,E 47 St & 2 Ave,7086
241,Riverside Dr & W 82 St,7037
242,Lexington Ave & E 26 St,7033
243,E 20 St & FDR Drive,6872
244,E 51 St & 1 Ave,6844
245,Grand St & Havemeyer St,6836
246,E 43 St & 5 Ave,6794
247,Berry St & N 8 St,6749
248,Frederick Douglass Blvd & W 112 St,6749
249,Cliff St & Fulton St,6745
250,W 17 St & 8 Ave,6742
251,W 13 St & 5 Ave,6654
252,E 48 St & 3 Ave,6651
253,W 56 St & 10 Ave,6631
254,E 9 St & Avenue C,6590
255,E 53 St & Madison Ave,6559
256,N 11 St & Kent Ave,6525
257,Fulton St & William St,6482
258,Franklin St & W Broadway,6474
259,Riverside Dr & W 104 St,6462
260,Lexington Ave & E 29 St,6423
261,E 45 St & 3 Ave,6415
262,Maiden Ln & Pearl St,6403
263,Rivington St & Ridge St,6381
264,William St & Pine St,6355
265,Pearl St & Hanover Square,6348
266,E 58 St & Madison Ave,6270
267,Broadway & Moylan Pl,6230
268,Bergen St & Smith St,6228
269,W 64 St & Thelonious Monk Circle,6214
270,W 67 St & Broadway,6189
271,Hanson Pl & Ashland Pl,6108
272,Union Ave & N 12 St,6096
273,E 41 St & Madison Ave,6094
274,W 50 St & 9 Ave,6047
275,Hope St & Union Ave,6016
276,W 35 St & Dyer Ave,5975
277,Amsterdam Ave & W 79 St,5960
278,Bond St & Fulton St,5944
279,Reade St & Broadway,5941
280,Clark St & Henry St,5879
281,St James Pl & Oliver St,5846
282,Stanton St & Norfolk St,5846
283,Cadman Plaza E & Johnson St,5834
284,Nassau St & Navy St,5830
285,Lenox Ave & W 126 St,5815
286,Broadway & Roebling St,5803
287,Amsterdam Ave & W 82 St,5787
288,Hudson St & Reade St,5693
289,W 89 St & Columbus Ave,5607
290,E 97 St & Madison Ave,5607
291,W 70 St & Amsterdam Ave,5597
292,Central Park West & W 102 St,5596
293,9 Ave & W 18 St,5579
294,E 19 St & 3 Ave,5544
295,W 84 St & Columbus Ave,5532
296,Flushing Ave & Vanderbilt Ave,5531
297,E 25 St & 1 Ave,5491
