,start station name,number_of_customers
776,3 Ave & E 100 St,1083
777,Lexington Ave & E 120 St,1083
778,Fulton St & Irving Pl,1079
779,28 St & 36 Ave,1067
780,E 118 St & Madison Ave,1064
781,Broadway & 12 St,1063
782,Fulton St & Grand Ave,1057
783,Montgomery St & Franklin Ave,1049
784,Perry St & Greenwich Ave,1039
785,E 98 St & Park Ave,1036
786,Morningside Dr & Amsterdam Ave,1026
787,23 Ave & 27 St,1023
788,31 St & Hoyt Ave N,1019
789,E 118 St & Park Ave,1006
790,Bushwick Ave & McKibbin St,1005
791,7 St & 3 Ave,998
792,21 St & 43 Ave,996
793,Park Ave & St Edwards St,996
794,Hart St & Wyckoff Ave,994
795,E 5 St & 2 Ave,989
796,12 St & 4 Ave,988
797,W 36 St & 9 Ave,968
798,30 Ave & 21 St,967
799,39 St & 2 Ave - Citi Bike HQ at Industry City,964
800,Division Ave & Hooper St,957
801,E 63 St & 3 Ave,953
802,3 Ave & E 95 St,945
803,Beaver St & Fayette St,942
804,1 Ave & E 18 St [temporarily removed],938
805,DeKalb Ave & Skillman St,934
806,Sullivan Pl & Bedford Ave,923
807,3 St & Hoyt St,904
808,Powers St & Olive St,893
809,1 Ave & E 16 St [temporarily removed],891
810,Devoe St & Morgan Ave,889
811,Crescent St & 34 Ave,881
812,Waterbury St & Stagg St,876
813,Stagg St & Morgan Ave,860
814,31 Ave & 14 St,860
815,5 St & 6 Ave,855
816,Carroll St & Franklin Ave,847
817,Grove St & Broadway,845
818,Henry St & Bay St,844
819,Broadway & Kosciuszko St,810
820,Pacific St & Classon Ave,804
821,21 St & 38 Ave,801
822,Eckford St & Engert Ave,793
823,37 St & 24 Ave,792
824,Cliff St & Fulton St_1,791
825,35 Ave & 10 St,781
826,48 Ave & 30 Pl,775
827,E 12 St & Ave C,771
828,Pioneer St & Richards St,757
829,E 95 St & 3 Ave,755
830,3 Ave & Carroll St,753
831,Dock 72 Way & Market St,751
832,2 Ave & 36 St,743
833,40 Ave & Crescent St,739
834,28 St & 38 Ave,736
835,Melrose St & Broadway,730
836,Wolcott St & Dwight St,729
837,Richards St & Delavan St,722
838,Broadway & Madison St,720
839,34 Ave & 21 St,720
840,Bushwick Ave & Dekalb Ave,706
841,Halsey St & Broadway,701
842,32 St & 30 Ave,693
843,Kingsland Ave & Nassau Ave,689
844,Bushwick Ave & Stagg St,684
845,39 St & 2 Ave,681
846,E 56 St & Madison Ave,681
847,Crescent St & 35 Ave,678
848,Wilson Ave & Troutman St,674
849,West End Ave & W 78 St,669
850,Montague St & Clinton St,649
851,Evergreen Ave & Noll St,633
852,White St & Johnson Ave,614
853,Suydam St & Broadway,600
854,Willoughby Ave & Myrtle Ave,599
855,Bedford Ave & Montgomery St,590
856,Clinton St & Centre St,586
857,Irving Ave & Harman St,572
858,LaGuardia Pl & W 3 St [temporarily removed],555
859,34 Ave & 13 St,552
860,27 Ave & 4 St,532
861,Bushwick Ave & Harman St,530
862,Columbia St & W 9 St,528
863,Crown St & Bedford Ave,527
864,E 71 St & 2 Ave,525
865,Broadway & Hancock St,525
866,W 135 St & Lenox Terrace Pl,520
867,21 St & 36 Ave,510
868,Wyckoff Av & Stanhope St,504
869,Battery Pl & Greenwich St,499
870,Sterling Pl & 7 Ave,493
871,E 76 St & 3 Ave,488
872,Bushwick Ave & Forrest St,485
873,Forest Ave & Summerfield St,480
874,Myrtle Ave & Linden St,476
875,Rockaway Ave & Bainbridge St,474
876,Kent St & McGuinness Blvd,462
877,Wyckoff St & Bond St,457
878,Van Buren St & Broadway,455
879,Jefferson St & Cypress Ave,453
880,Henry St & W 9 St,453
881,Calyer St & Jewel St,451
882,5 St & Market St,451
883,Bushwick Ave & Linden St,443
884,St Nicholas Ave & W 137 St,442
885,W 64 St & West End Ave,440
886,47 Ave & Skillman Ave,436
887,Central Ave & Woodbine St,424
888,Van Sinderen Ave & Truxton St,424
889,27 Ave & 3 St,421
890,Central Ave & Himrod St,418
891,E 149 St & Morris Ave,417
892,Lorimer St & Calyer St,417
893,Willoughby Ave & Myrtle Ave [temporarily removed],414
894,Putnam Ave & Wyckoff Ave,413
895,Norman St & Wyckoff Ave,408
896,Sands St Gate,404
897,Irving Ave & Halsey St,388
898,Frost St & Meeker St,385
899,W 45 St & 6 Ave -,384
900,Columbia St & Lorraine St,378
901,Irving Ave & Palmetto St,377
902,Central Ave & Melrose St,374
903,Wyckoff St & Nevins St,369
904,Knickerbocker Ave & Halsey St,369
905,Manhattan Av & Leonard St,368
906,Hoyt St & Warren St,362
907,2 Ave & 9 St,352
908,10 St & 2 Ave,348
909,Central Ave & Weirfield St,348
910,Madison St & Forest Ave,343
911,11 St & 35 Ave,341
912,E 80 St & Park Ave,333
913,W Broadway & Spring St [temporarily removed],326
914,38 Ave & 29 St,321
915,4 Ave & 2 St,316
916,Engert Ave & McGuinness Blvd,313
917,Knickerbocker Ave & Cooper St,313
918,Knickerbocker Ave & Hancock St,310
919,Withers St & Kingsland Ave,310
920,Myrtle Ave & Grove St,308
921,Onderdonk Ave & Gates Ave,306
922,Central Ave & Covert St,301
923,Green St & McGuinness Blvd,299
924,Eldert St & Bushwick Ave,297
925,Menahan St & Central Ave,290
926,Jefferson Ave & Evergreen Ave,288
927,Harman St & Seneca Ave,286
928,Lexington Ave & E 26 St [temporarily removed],283
929,Harrison Pl & Porter Ave,278
930,Broadway & Furman Ave,276
931,Morgan Ave & Lombardy St,276
932,Stewart Ave & Johnson Ave,275
933,Madison St & Woodward Ave,273
934,Putnam Ave & Knickerbocker Ave,273
935,Morgan Ave & Maspeth Ave,270
936,Cliff St & Fulton St (Old),268
937,Cedar St & Evergreen Ave,267
938,Greene Ave & Grandview Ave,265
939,Adam Clayton Powell Blvd & W 130 St,264
940,31 St & 35 Ave,263
941,Flushing Ave & Woodward Ave,259
942,Madison St & Cypress Ave,258
943,Amsterdam Ave & W 136 St,250
944,Wilson Ave & Moffat St,243
945,Cypress Ave & Palmetto St,241
946,Halsey St & Evergreen Ave,239
947,Madison St & Seneca Ave,237
948,W 104 St & Amsterdam Ave - 1,231
949,Amsterdam Ave & W 131 St,230
950,Central Ave & Decatur St,230
951,Menahan St & Wyckoff Ave,228
952,Moffat St & Bushwick,228
953,Stanhope St & Fairview Ave,225
954,Willoughby St & Ashland Pl,223
955,Suydam St & St. Nicholas Ave,220
956,Linden St & Knickerbocker Ave,215
957,Menahan St & Seneca Ave,211
958,E 138 St & 5 Av,210
959,Stuyvesant Walk & 1 Av Loop,209
960,Greenpoint Ave & Manhattan Ave [temporarily removed],209
961,Grand Concourse & E 144 St,207
962,Madison St & Evergreen Ave,202
963,Willis Ave & Bruckner Blvd,201
964,Railroad Ave & Kay Ave,196
965,Lexington Ave & E 29 St [temporarily removed],193
966,Woodward Ave & Harman St,189
967,Onderdonk Ave & Dekalb Ave,189
968,Bushwick Ave & Furman Ave,181
969,Centre St & Seneca Ave,175
970,Willis Ave & E 137 St,175
971,Marcus Garvey Blvd & Macon St    [temporarily removed],174
972,E 87 St & 3 Ave,174
973,10 Hudson Yards,173
974,28 St & 40 Ave,166
975,Fairview Ave & Linden St,159
976,2 Ave & E 125 St,153
977,Metropolitan Ave & Stewart Ave,151
978,W 31 St & 7 Ave [temporarily removed],149
979,Willis Ave & E 141 St,149
980,Somers St & Broadway,148
981,Menahan St & Onderdonk Ave,142
982,Stephen St & Seneca Ave,141
983,Lincoln Ave & E 138 St,141
984,old - E 13 St & Avenue A,141
985,Division St & Bowery (old),139
986,Cypress Ave & George St,134
987,5 Ave & E 135 St,134
988,E 33 St & 2 Ave,129
989,Willoughby Ave & Onderdonk Ave,127
990,W 13 St & 5 Ave -moved to 5947.04,126
991,Hancock St & Wyckoff Ave,123
992,Metropolitan Ave & Vandervoort Ave,123
993,Willow Ave & E 133 St,116
994,Convent Ave & W 135 St,110
995,Frost St & Debevoise Ave,110
996,Sands St & Navy St,107
997,E 132 St & Madison Ave,106
998,5 Ave & W 131 St,100
999,Lincoln Ave & E 134 St,89
1000,Lexington Ave & E 128 St,72
1001,Morris Ave & E 142 St,64
1002,E 135 St & St Ann's Ave,45
1003,E 128 St & 3 Ave,44
1004,Avenue D & E 8 St (home location),33
1005,Morris Ave & E 153 St,32
1006,Schermerhorn St & 3 Ave,29
1007,E 71 St & 1 Ave,28
1008,24 St & 41 Ave (original),25
1009,St Mary's St & Jackson Ave,22
1010,Brook Ave & E 141 St,21
1011,S Portland Ave & Atlantic Ave,21
1012,E 138 St & Grand Concourse,20
1013,31 Ave & Steinway St (temp),17
1014,E 133 St & Cypress Pl,14
1015,St. Ann's Av & Bruckner Blvd,11
1016,St. Ann's Ave & E 144 St,8
1017,Willis Ave & E 143 St,7
1018,E 134 St & Walnut Ave,3
1019,Smart Cities Conference,1
1020,8D OPS 01,1
1021,MTL-AOS-5.1,1
1022,E 144 St & Brook Ave,1
1023,Walnut Ave & E 136 St,1
1024,8D QC Station 01,1
1025,E 138 St & Willow Ave,1
